audio_name,first_scene,second_scene
ATMs_1_001.wav,Banks and Financial Institutions,ATMs
ATMs_1_002.wav,Banks and Financial Institutions,ATMs
ATMs_1_003.wav,Banks and Financial Institutions,ATMs
ATMs_2_001.wav,Banks and Financial Institutions,ATMs
ATMs_2_002.wav,Banks and Financial Institutions,ATMs
ATMs_2_003.wav,Banks and Financial Institutions,ATMs
ATMs_2_004.wav,Banks and Financial Institutions,ATMs
ATMs_2_005.wav,Banks and Financial Institutions,ATMs
ATMs_2_006.wav,Banks and Financial Institutions,ATMs
ATMs_2_007.wav,Banks and Financial Institutions,ATMs
ATMs_2_008.wav,Banks and Financial Institutions,ATMs
ATMs_2_009.wav,Banks and Financial Institutions,ATMs
ATMs_2_010.wav,Banks and Financial Institutions,ATMs
ATMs_2_011.wav,Banks and Financial Institutions,ATMs
ATMs_2_012.wav,Banks and Financial Institutions,ATMs
ATMs_2_013.wav,Banks and Financial Institutions,ATMs
ATMs_2_014.wav,Banks and Financial Institutions,ATMs
ATMs_2_015.wav,Banks and Financial Institutions,ATMs
ATMs_2_016.wav,Banks and Financial Institutions,ATMs
ATMs_2_017.wav,Banks and Financial Institutions,ATMs
ATMs_2_018.wav,Banks and Financial Institutions,ATMs
ATMs_2_019.wav,Banks and Financial Institutions,ATMs
ATMs_2_020.wav,Banks and Financial Institutions,ATMs
ATMs_2_021.wav,Banks and Financial Institutions,ATMs
ATMs_2_022.wav,Banks and Financial Institutions,ATMs
ATMs_2_023.wav,Banks and Financial Institutions,ATMs
ATMs_2_024.wav,Banks and Financial Institutions,ATMs
ATMs_2_025.wav,Banks and Financial Institutions,ATMs
ATMs_2_026.wav,Banks and Financial Institutions,ATMs
ATMs_2_027.wav,Banks and Financial Institutions,ATMs
ATMs_2_028.wav,Banks and Financial Institutions,ATMs
ATMs_2_029.wav,Banks and Financial Institutions,ATMs
ATMs_2_030.wav,Banks and Financial Institutions,ATMs
ATMs_2_031.wav,Banks and Financial Institutions,ATMs
ATMs_2_032.wav,Banks and Financial Institutions,ATMs
ATMs_2_033.wav,Banks and Financial Institutions,ATMs
ATMs_2_034.wav,Banks and Financial Institutions,ATMs
ATMs_2_035.wav,Banks and Financial Institutions,ATMs
ATMs_2_036.wav,Banks and Financial Institutions,ATMs
ATMs_2_037.wav,Banks and Financial Institutions,ATMs
ATMs_2_038.wav,Banks and Financial Institutions,ATMs
ATMs_2_039.wav,Banks and Financial Institutions,ATMs
ATMs_2_040.wav,Banks and Financial Institutions,ATMs
ATMs_2_041.wav,Banks and Financial Institutions,ATMs
ATMs_2_042.wav,Banks and Financial Institutions,ATMs
ATMs_2_043.wav,Banks and Financial Institutions,ATMs
ATMs_2_044.wav,Banks and Financial Institutions,ATMs
ATMs_2_045.wav,Banks and Financial Institutions,ATMs
ATMs_2_046.wav,Banks and Financial Institutions,ATMs
ATMs_2_047.wav,Banks and Financial Institutions,ATMs
ATMs_2_048.wav,Banks and Financial Institutions,ATMs
ATMs_2_049.wav,Banks and Financial Institutions,ATMs
ATMs_2_050.wav,Banks and Financial Institutions,ATMs
ATMs_2_051.wav,Banks and Financial Institutions,ATMs
ATMs_2_052.wav,Banks and Financial Institutions,ATMs
ATMs_2_053.wav,Banks and Financial Institutions,ATMs
ATMs_2_054.wav,Banks and Financial Institutions,ATMs
ATMs_2_055.wav,Banks and Financial Institutions,ATMs
ATMs_2_056.wav,Banks and Financial Institutions,ATMs
ATMs_2_057.wav,Banks and Financial Institutions,ATMs
ATMs_2_058.wav,Banks and Financial Institutions,ATMs
ATMs_2_059.wav,Banks and Financial Institutions,ATMs
ATMs_2_060.wav,Banks and Financial Institutions,ATMs
ATMs_2_061.wav,Banks and Financial Institutions,ATMs
ATMs_2_062.wav,Banks and Financial Institutions,ATMs
ATMs_2_063.wav,Banks and Financial Institutions,ATMs
ATMs_2_064.wav,Banks and Financial Institutions,ATMs
ATMs_2_065.wav,Banks and Financial Institutions,ATMs
ATMs_2_066.wav,Banks and Financial Institutions,ATMs
ATMs_2_067.wav,Banks and Financial Institutions,ATMs
ATMs_2_068.wav,Banks and Financial Institutions,ATMs
ATMs_2_069.wav,Banks and Financial Institutions,ATMs
ATMs_2_070.wav,Banks and Financial Institutions,ATMs
ATMs_2_071.wav,Banks and Financial Institutions,ATMs
ATMs_2_072.wav,Banks and Financial Institutions,ATMs
ATMs_2_073.wav,Banks and Financial Institutions,ATMs
ATMs_2_074.wav,Banks and Financial Institutions,ATMs
ATMs_2_075.wav,Banks and Financial Institutions,ATMs
ATMs_2_076.wav,Banks and Financial Institutions,ATMs
ATMs_2_077.wav,Banks and Financial Institutions,ATMs
ATMs_2_078.wav,Banks and Financial Institutions,ATMs
ATMs_2_079.wav,Banks and Financial Institutions,ATMs
ATMs_2_080.wav,Banks and Financial Institutions,ATMs
ATMs_2_081.wav,Banks and Financial Institutions,ATMs
ATMs_2_082.wav,Banks and Financial Institutions,ATMs
ATMs_2_083.wav,Banks and Financial Institutions,ATMs
ATMs_2_084.wav,Banks and Financial Institutions,ATMs
ATMs_2_085.wav,Banks and Financial Institutions,ATMs
ATMs_2_086.wav,Banks and Financial Institutions,ATMs
ATMs_2_087.wav,Banks and Financial Institutions,ATMs
ATMs_2_088.wav,Banks and Financial Institutions,ATMs
ATMs_2_089.wav,Banks and Financial Institutions,ATMs
ATMs_2_090.wav,Banks and Financial Institutions,ATMs
ATMs_2_091.wav,Banks and Financial Institutions,ATMs
ATMs_2_092.wav,Banks and Financial Institutions,ATMs
ATMs_2_093.wav,Banks and Financial Institutions,ATMs
ATMs_2_094.wav,Banks and Financial Institutions,ATMs
ATMs_2_095.wav,Banks and Financial Institutions,ATMs
ATMs_2_096.wav,Banks and Financial Institutions,ATMs
ATMs_2_097.wav,Banks and Financial Institutions,ATMs
ATMs_2_098.wav,Banks and Financial Institutions,ATMs
ATMs_2_099.wav,Banks and Financial Institutions,ATMs
ATMs_2_100.wav,Banks and Financial Institutions,ATMs
ATMs_2_101.wav,Banks and Financial Institutions,ATMs
ATMs_2_102.wav,Banks and Financial Institutions,ATMs
ATMs_2_103.wav,Banks and Financial Institutions,ATMs
ATMs_2_104.wav,Banks and Financial Institutions,ATMs
ATMs_2_105.wav,Banks and Financial Institutions,ATMs
ATMs_2_106.wav,Banks and Financial Institutions,ATMs
ATMs_2_107.wav,Banks and Financial Institutions,ATMs
ATMs_2_108.wav,Banks and Financial Institutions,ATMs
ATMs_2_109.wav,Banks and Financial Institutions,ATMs
ATMs_2_110.wav,Banks and Financial Institutions,ATMs
ATMs_2_111.wav,Banks and Financial Institutions,ATMs
ATMs_2_112.wav,Banks and Financial Institutions,ATMs
